,GAME_ID,TEAM_ID_A,TEAM_NAME_A,TEAM_ABBREVIATION_A,TEAM_CITY_A,MIN_A,PTS_OFF_TOV_A,PTS_2ND_CHANCE_A,PTS_FB_A,PTS_PAINT_A,OPP_PTS_OFF_TOV_A,OPP_PTS_2ND_CHANCE_A,OPP_PTS_FB_A,OPP_PTS_PAINT_A,BLK_A,BLKA_A,PF_A,PFD_A,TEAM_ID_B,TEAM_NAME_B,TEAM_ABBREVIATION_B,TEAM_CITY_B,MIN_B,PTS_OFF_TOV_B,PTS_2ND_CHANCE_B,PTS_FB_B,PTS_PAINT_B,OPP_PTS_OFF_TOV_B,OPP_PTS_2ND_CHANCE_B,OPP_PTS_FB_B,OPP_PTS_PAINT_B,BLK_B,BLKA_B,PF_B,PFD_B,Unnamed: 0.1
1140,22200571,1610612757,Trail Blazers,POR,Portland,240:00,23.0,10.0,9.0,38.0,22.0,16.0,11.0,54.0,7,6,30,30,1610612750,Timberwolves,MIN,Minnesota,240:00,22.0,16.0,11.0,54.0,23.0,10.0,9.0,38.0,6,7,30,30,902.0
1141,22200571,1610612750,Timberwolves,MIN,Minnesota,240:00,22.0,16.0,11.0,54.0,23.0,10.0,9.0,38.0,6,7,30,30,1610612757,Trail Blazers,POR,Portland,240:00,23.0,10.0,9.0,38.0,22.0,16.0,11.0,54.0,7,6,30,30,903.0
1142,22200572,1610612740,Pelicans,NOP,New Orleans,240:00,25.0,22.0,15.0,50.0,13.0,20.0,17.0,50.0,6,4,19,22,1610612745,Rockets,HOU,Houston,240:00,13.0,20.0,17.0,50.0,25.0,22.0,15.0,50.0,4,6,22,19,904.0
1143,22200572,1610612745,Rockets,HOU,Houston,240:00,13.0,20.0,17.0,50.0,25.0,22.0,15.0,50.0,4,6,22,19,1610612740,Pelicans,NOP,New Orleans,240:00,25.0,22.0,15.0,50.0,13.0,20.0,17.0,50.0,6,4,19,22,905.0
1144,22200573,1610612744,Warriors,GSW,Golden State,240:00,14.0,13.0,13.0,52.0,22.0,17.0,17.0,52.0,4,1,20,11,1610612765,Pistons,DET,Detroit,240:00,22.0,17.0,17.0,52.0,14.0,13.0,13.0,52.0,1,4,11,20,906.0
1145,22200573,1610612765,Pistons,DET,Detroit,240:00,22.0,17.0,17.0,52.0,14.0,13.0,13.0,52.0,1,4,11,20,1610612744,Warriors,GSW,Golden State,240:00,14.0,13.0,13.0,52.0,22.0,17.0,17.0,52.0,4,1,20,11,907.0
1146,22200574,1610612748,Heat,MIA,Miami,240:00,23.0,28.0,12.0,66.0,11.0,14.0,9.0,60.0,4,4,20,18,1610612747,Lakers,LAL,Los Angeles,240:00,11.0,14.0,9.0,60.0,23.0,28.0,12.0,66.0,4,4,18,20,908.0
1147,22200574,1610612747,Lakers,LAL,Los Angeles,240:00,11.0,14.0,9.0,60.0,23.0,28.0,12.0,66.0,4,4,18,20,1610612748,Heat,MIA,Miami,240:00,23.0,28.0,12.0,66.0,11.0,14.0,9.0,60.0,4,4,20,18,909.0
1148,22200575,1610612758,Kings,SAC,Sacramento,240:00,16.0,9.0,11.0,60.0,16.0,10.0,18.0,56.0,3,4,19,21,1610612737,Hawks,ATL,Atlanta,240:00,16.0,10.0,18.0,56.0,16.0,9.0,11.0,60.0,4,3,21,19,910.0
1149,22200575,1610612737,Hawks,ATL,Atlanta,240:00,16.0,10.0,18.0,56.0,16.0,9.0,11.0,60.0,4,3,21,19,1610612758,Kings,SAC,Sacramento,240:00,16.0,9.0,11.0,60.0,16.0,10.0,18.0,56.0,3,4,19,21,911.0
1150,22200576,1610612753,Magic,ORL,Orlando,240:00,14.0,13.0,17.0,40.0,14.0,14.0,19.0,64.0,3,3,22,22,1610612763,Grizzlies,MEM,Memphis,240:00,14.0,14.0,19.0,64.0,14.0,13.0,17.0,40.0,3,3,22,22,912.0
1151,22200576,1610612763,Grizzlies,MEM,Memphis,240:00,14.0,14.0,19.0,64.0,14.0,13.0,17.0,40.0,3,3,22,22,1610612753,Magic,ORL,Orlando,240:00,14.0,13.0,17.0,40.0,14.0,14.0,19.0,64.0,3,3,22,22,913.0
1152,22200577,1610612742,Mavericks,DAL,Dallas,240:00,7.0,16.0,10.0,44.0,11.0,13.0,11.0,42.0,3,8,19,22,1610612738,Celtics,BOS,Boston,240:00,11.0,13.0,11.0,42.0,7.0,16.0,10.0,44.0,8,3,22,19,914.0
1153,22200577,1610612738,Celtics,BOS,Boston,240:00,11.0,13.0,11.0,42.0,7.0,16.0,10.0,44.0,8,3,22,19,1610612742,Mavericks,DAL,Dallas,240:00,7.0,16.0,10.0,44.0,11.0,13.0,11.0,42.0,3,8,19,22,915.0
1154,22200578,1610612762,Jazz,UTA,Utah,240:00,21.0,14.0,18.0,52.0,13.0,19.0,11.0,46.0,5,3,20,21,1610612745,Rockets,HOU,Houston,240:00,13.0,19.0,11.0,46.0,21.0,14.0,18.0,52.0,3,5,21,20,916.0
1155,22200578,1610612745,Rockets,HOU,Houston,240:00,13.0,19.0,11.0,46.0,21.0,14.0,18.0,52.0,3,5,21,20,1610612762,Jazz,UTA,Utah,240:00,21.0,14.0,18.0,52.0,13.0,19.0,11.0,46.0,5,3,20,21,917.0
1156,22200579,1610612746,Clippers,LAC,LA,240:00,12.0,16.0,15.0,54.0,11.0,17.0,30.0,60.0,3,5,14,16,1610612743,Nuggets,DEN,Denver,240:00,11.0,17.0,30.0,60.0,12.0,16.0,15.0,54.0,5,3,16,14,918.0
1157,22200579,1610612743,Nuggets,DEN,Denver,240:00,11.0,17.0,30.0,60.0,12.0,16.0,15.0,54.0,5,3,16,14,1610612746,Clippers,LAC,LA,240:00,12.0,16.0,15.0,54.0,11.0,17.0,30.0,60.0,3,5,14,16,919.0
1158,22200580,1610612757,Trail Blazers,POR,Portland,240:00,15.0,16.0,12.0,48.0,29.0,4.0,26.0,50.0,1,6,19,22,1610612754,Pacers,IND,Indiana,240:00,29.0,4.0,26.0,50.0,15.0,16.0,12.0,48.0,6,1,22,19,920.0
1159,22200580,1610612754,Pacers,IND,Indiana,240:00,29.0,4.0,26.0,50.0,15.0,16.0,12.0,48.0,6,1,22,19,1610612757,Trail Blazers,POR,Portland,240:00,15.0,16.0,12.0,48.0,29.0,4.0,26.0,50.0,1,6,19,22,921.0
1160,22200581,1610612755,76ers,PHI,Philadelphia,240:00,20.0,16.0,16.0,38.0,10.0,11.0,18.0,46.0,3,4,15,14,1610612741,Bulls,CHI,Chicago,240:00,10.0,11.0,18.0,46.0,20.0,16.0,16.0,38.0,4,3,14,15,922.0
1161,22200581,1610612741,Bulls,CHI,Chicago,240:00,10.0,11.0,18.0,46.0,20.0,16.0,16.0,38.0,4,3,14,15,1610612755,76ers,PHI,Philadelphia,240:00,20.0,16.0,16.0,38.0,10.0,11.0,18.0,46.0,3,4,15,14,923.0
1162,22200582,1610612761,Raptors,TOR,Toronto,240:00,17.0,13.0,19.0,42.0,11.0,17.0,3.0,30.0,3,4,23,23,1610612752,Knicks,NYK,New York,240:00,11.0,17.0,3.0,30.0,17.0,13.0,19.0,42.0,4,3,23,23,924.0
1163,22200582,1610612752,Knicks,NYK,New York,240:00,11.0,17.0,3.0,30.0,17.0,13.0,19.0,42.0,4,3,23,23,1610612761,Raptors,TOR,Toronto,240:00,17.0,13.0,19.0,42.0,11.0,17.0,3.0,30.0,3,4,23,23,925.0
1164,22200583,1610612749,Bucks,MIL,Milwaukee,240:00,1.0,11.0,8.0,22.0,33.0,24.0,10.0,54.0,4,3,18,17,1610612766,Hornets,CHA,Charlotte,240:00,33.0,24.0,10.0,54.0,1.0,11.0,8.0,22.0,3,4,17,18,926.0
1165,22200583,1610612766,Hornets,CHA,Charlotte,240:00,33.0,24.0,10.0,54.0,1.0,11.0,8.0,22.0,3,4,17,18,1610612749,Bucks,MIL,Milwaukee,240:00,1.0,11.0,8.0,22.0,33.0,24.0,10.0,54.0,4,3,18,17,927.0
1166,22200584,1610612764,Wizards,WAS,Washington,240:00,9.0,13.0,6.0,58.0,32.0,17.0,16.0,66.0,2,6,18,26,1610612760,Thunder,OKC,Oklahoma City,240:00,32.0,17.0,16.0,66.0,9.0,13.0,6.0,58.0,6,2,26,18,928.0
1167,22200584,1610612760,Thunder,OKC,Oklahoma City,240:00,32.0,17.0,16.0,66.0,9.0,13.0,6.0,58.0,6,2,26,18,1610612764,Wizards,WAS,Washington,240:00,9.0,13.0,6.0,58.0,32.0,17.0,16.0,66.0,2,6,18,26,929.0
1168,22200585,1610612759,Spurs,SAS,San Antonio,240:00,14.0,9.0,8.0,68.0,23.0,23.0,13.0,64.0,4,0,16,22,1610612765,Pistons,DET,Detroit,240:00,23.0,23.0,13.0,64.0,14.0,9.0,8.0,68.0,0,4,22,16,930.0
1169,22200585,1610612765,Pistons,DET,Detroit,240:00,23.0,23.0,13.0,64.0,14.0,9.0,8.0,68.0,0,4,22,16,1610612759,Spurs,SAS,San Antonio,240:00,14.0,9.0,8.0,68.0,23.0,23.0,13.0,64.0,4,0,16,22,931.0
1170,22200586,1610612740,Pelicans,NOP,New Orleans,240:00,13.0,17.0,16.0,42.0,17.0,24.0,14.0,36.0,4,12,20,23,1610612751,Nets,BKN,Brooklyn,240:00,17.0,24.0,14.0,36.0,13.0,17.0,16.0,42.0,12,4,23,20,932.0
1171,22200586,1610612751,Nets,BKN,Brooklyn,240:00,17.0,24.0,14.0,36.0,13.0,17.0,16.0,42.0,12,4,23,20,1610612740,Pelicans,NOP,New Orleans,240:00,13.0,17.0,16.0,42.0,17.0,24.0,14.0,36.0,4,12,20,23,933.0
1172,22200587,1610612750,Timberwolves,MIN,Minnesota,240:00,13.0,8.0,16.0,64.0,18.0,12.0,19.0,64.0,7,3,22,19,1610612746,Clippers,LAC,LA,240:00,18.0,12.0,19.0,64.0,13.0,8.0,16.0,64.0,3,7,19,22,934.0
1173,22200587,1610612746,Clippers,LAC,LA,240:00,18.0,12.0,19.0,64.0,13.0,8.0,16.0,64.0,3,7,19,22,1610612750,Timberwolves,MIN,Minnesota,240:00,13.0,8.0,16.0,64.0,18.0,12.0,19.0,64.0,7,3,22,19,935.0
1174,22200588,1610612743,Nuggets,DEN,Denver,240:00,14.0,19.0,15.0,50.0,18.0,16.0,17.0,60.0,4,5,23,18,1610612739,Cavaliers,CLE,Cleveland,240:00,18.0,16.0,17.0,60.0,14.0,19.0,15.0,50.0,5,4,18,23,936.0
1175,22200588,1610612739,Cavaliers,CLE,Cleveland,240:00,18.0,16.0,17.0,60.0,14.0,19.0,15.0,50.0,5,4,18,23,1610612743,Nuggets,DEN,Denver,240:00,14.0,19.0,15.0,50.0,18.0,16.0,17.0,60.0,4,5,23,18,937.0
1176,22200589,1610612756,Suns,PHX,Phoenix,240:00,15.0,11.0,4.0,48.0,18.0,4.0,10.0,34.0,2,3,20,14,1610612748,Heat,MIA,Miami,240:00,18.0,4.0,10.0,34.0,15.0,11.0,4.0,48.0,3,2,14,20,938.0
1177,22200589,1610612748,Heat,MIA,Miami,240:00,18.0,4.0,10.0,34.0,15.0,11.0,4.0,48.0,3,2,14,20,1610612756,Suns,PHX,Phoenix,240:00,15.0,11.0,4.0,48.0,18.0,4.0,10.0,34.0,2,3,20,14,939.0
1178,22200590,1610612747,Lakers,LAL,Los Angeles,240:00,11.0,13.0,26.0,66.0,20.0,12.0,12.0,50.0,5,5,18,15,1610612737,Hawks,ATL,Atlanta,240:00,20.0,12.0,12.0,50.0,11.0,13.0,26.0,66.0,5,5,15,18,940.0
