,GAME_ID,TEAM_ID_A,TEAM_NAME_A,TEAM_ABBREVIATION_A,TEAM_CITY_A,MIN_A,EFG_PCT_A,FTA_RATE_A,TM_TOV_PCT_A,OREB_PCT_A,OPP_EFG_PCT_A,OPP_FTA_RATE_A,OPP_TOV_PCT_A,OPP_OREB_PCT_A,TEAM_ID_B,TEAM_NAME_B,TEAM_ABBREVIATION_B,TEAM_CITY_B,MIN_B,EFG_PCT_B,FTA_RATE_B,TM_TOV_PCT_B,OREB_PCT_B,OPP_EFG_PCT_B,OPP_FTA_RATE_B,OPP_TOV_PCT_B,OPP_OREB_PCT_B
2,0021700979,1610612745,Rockets,HOU,Houston,240:00,0.549,0.284,0.143,0.156,0.571,0.165,0.177,0.333,1610612761,Raptors,TOR,Toronto,240:00,0.571,0.165,0.177,0.267,0.549,0.284,0.143,0.244
1,0021700978,1610612754,Pacers,IND,Indiana,240:00,0.571,0.11,0.156,0.196,0.476,0.122,0.191,0.184,1610612737,Hawks,ATL,Atlanta,240:00,0.476,0.122,0.191,0.122,0.571,0.11,0.156,0.326
2,0021700978,1610612737,Hawks,ATL,Atlanta,240:00,0.476,0.122,0.191,0.122,0.571,0.11,0.156,0.326,1610612754,Pacers,IND,Indiana,240:00,0.571,0.11,0.156,0.196,0.476,0.122,0.191,0.184
1,0021700982,1610612764,Wizards,WAS,Washington,240:00,0.526,0.208,0.112,0.189,0.5,0.22,0.146,0.089,1610612740,Pelicans,NOP,New Orleans,240:00,0.5,0.22,0.146,0.044,0.526,0.208,0.112,0.283
2,0021700982,1610612740,Pelicans,NOP,New Orleans,240:00,0.5,0.22,0.146,0.044,0.526,0.208,0.112,0.283,1610612764,Wizards,WAS,Washington,240:00,0.526,0.208,0.112,0.189,0.5,0.22,0.146,0.089
1,0021700984,1610612757,Trail Blazers,POR,Portland,240:00,0.584,0.303,0.112,0.298,0.564,0.308,0.127,0.233,1610612744,Warriors,GSW,Golden State,240:00,0.564,0.308,0.127,0.14,0.584,0.303,0.112,0.383
2,0021700984,1610612744,Warriors,GSW,Golden State,240:00,0.564,0.308,0.127,0.14,0.584,0.303,0.112,0.383,1610612757,Trail Blazers,POR,Portland,240:00,0.584,0.303,0.112,0.298,0.564,0.308,0.127,0.233
1,0021700980,1610612762,Jazz,UTA,Utah,240:00,0.534,0.297,0.209,0.19,0.41,0.169,0.159,0.222,1610612763,Grizzlies,MEM,Memphis,240:00,0.41,0.169,0.159,0.185,0.534,0.297,0.209,0.262
2,0021700980,1610612763,Grizzlies,MEM,Memphis,240:00,0.41,0.169,0.159,0.185,0.534,0.297,0.209,0.262,1610612762,Jazz,UTA,Utah,240:00,0.534,0.297,0.209,0.19,0.41,0.169,0.159,0.222
1,0021700986,1610612746,Clippers,LAC,LA,240:00,0.545,0.337,0.136,0.25,0.517,0.207,0.13,0.18,1610612739,Cavaliers,CLE,Cleveland,240:00,0.517,0.207,0.13,0.16,0.545,0.337,0.136,0.346
2,0021700986,1610612739,Cavaliers,CLE,Cleveland,240:00,0.517,0.207,0.13,0.16,0.545,0.337,0.136,0.346,1610612746,Clippers,LAC,LA,240:00,0.545,0.337,0.136,0.25,0.517,0.207,0.13,0.18
1,0021700985,1610612758,Kings,SAC,Sacramento,240:00,0.488,0.181,0.19,0.277,0.481,0.205,0.149,0.128,1610612753,Magic,ORL,Orlando,240:00,0.481,0.205,0.149,0.106,0.488,0.181,0.19,0.319
2,0021700985,1610612753,Magic,ORL,Orlando,240:00,0.481,0.205,0.149,0.106,0.488,0.181,0.19,0.319,1610612758,Kings,SAC,Sacramento,240:00,0.488,0.181,0.19,0.277,0.481,0.205,0.149,0.128
1,0021700983,1610612747,Lakers,LAL,Los Angeles,240:00,0.565,0.174,0.155,0.24,0.596,0.361,0.119,0.209,1610612743,Nuggets,DEN,Denver,240:00,0.596,0.361,0.119,0.163,0.565,0.174,0.155,0.36
2,0021700983,1610612743,Nuggets,DEN,Denver,240:00,0.596,0.361,0.119,0.163,0.565,0.174,0.155,0.36,1610612747,Lakers,LAL,Los Angeles,240:00,0.565,0.174,0.155,0.24,0.596,0.361,0.119,0.209
1,0021700981,1610612752,Knicks,NYK,New York,240:00,0.515,0.143,0.106,0.212,0.616,0.534,0.168,0.216,1610612749,Bucks,MIL,Milwaukee,240:00,0.616,0.534,0.168,0.162,0.515,0.143,0.106,0.25
2,0021700981,1610612749,Bucks,MIL,Milwaukee,240:00,0.616,0.534,0.168,0.162,0.515,0.143,0.106,0.25,1610612752,Knicks,NYK,New York,240:00,0.515,0.143,0.106,0.212,0.616,0.534,0.168,0.216
