,GAME_ID,TEAM_ID_A,TEAM_NAME_A,TEAM_ABBREVIATION_A,TEAM_CITY_A,MIN_A,PTS_OFF_TOV_A,PTS_2ND_CHANCE_A,PTS_FB_A,PTS_PAINT_A,OPP_PTS_OFF_TOV_A,OPP_PTS_2ND_CHANCE_A,OPP_PTS_FB_A,OPP_PTS_PAINT_A,BLK_A,BLKA_A,PF_A,PFD_A,TEAM_ID_B,TEAM_NAME_B,TEAM_ABBREVIATION_B,TEAM_CITY_B,MIN_B,PTS_OFF_TOV_B,PTS_2ND_CHANCE_B,PTS_FB_B,PTS_PAINT_B,OPP_PTS_OFF_TOV_B,OPP_PTS_2ND_CHANCE_B,OPP_PTS_FB_B,OPP_PTS_PAINT_B,BLK_B,BLKA_B,PF_B,PFD_B
1,0021900440,1610612766,Hornets,CHA,Charlotte,240:00,18.0,2.0,2.0,44.0,10.0,16.0,10.0,56.0,5,9,17,24,1610612738,Celtics,BOS,Boston,240:00,10.0,16.0,10.0,56.0,18.0,2.0,2.0,44.0,9,5,24,17
2,0021900440,1610612738,Celtics,BOS,Boston,240:00,10.0,16.0,10.0,56.0,18.0,2.0,2.0,44.0,9,5,24,17,1610612766,Hornets,CHA,Charlotte,240:00,18.0,2.0,2.0,44.0,10.0,16.0,10.0,56.0,5,9,17,24
1,0021900441,1610612749,Bucks,MIL,Milwaukee,240:00,11.0,21.0,18.0,48.0,5.0,15.0,14.0,34.0,9,5,7,15,1610612754,Pacers,IND,Indiana,240:00,5.0,15.0,14.0,34.0,11.0,21.0,18.0,48.0,5,9,15,7
2,0021900441,1610612754,Pacers,IND,Indiana,240:00,5.0,15.0,14.0,34.0,11.0,21.0,18.0,48.0,5,9,15,7,1610612749,Bucks,MIL,Milwaukee,240:00,11.0,21.0,18.0,48.0,5.0,15.0,14.0,34.0,9,5,7,15
1,0021900442,1610612760,Thunder,OKC,Oklahoma City,240:00,27.0,13.0,4.0,60.0,16.0,8.0,3.0,40.0,4,2,20,23,1610612746,Clippers,LAC,LA,240:00,16.0,8.0,3.0,40.0,27.0,13.0,4.0,60.0,2,4,23,20
2,0021900442,1610612746,Clippers,LAC,LA,240:00,16.0,8.0,3.0,40.0,27.0,13.0,4.0,60.0,2,4,23,20,1610612760,Thunder,OKC,Oklahoma City,240:00,27.0,13.0,4.0,60.0,16.0,8.0,3.0,40.0,4,2,20,23
1,0021900443,1610612747,Lakers,LAL,Los Angeles,240:00,9.0,22.0,9.0,56.0,24.0,22.0,22.0,62.0,9,2,25,19,1610612743,Nuggets,DEN,Denver,240:00,24.0,22.0,22.0,62.0,9.0,22.0,9.0,56.0,2,9,19,25
2,0021900443,1610612743,Nuggets,DEN,Denver,240:00,24.0,22.0,22.0,62.0,9.0,22.0,9.0,56.0,2,9,19,25,1610612747,Lakers,LAL,Los Angeles,240:00,9.0,22.0,9.0,56.0,24.0,22.0,22.0,62.0,9,2,25,19
1,0021900444,1610612739,Cavaliers,CLE,Cleveland,240:00,17.0,17.0,10.0,66.0,32.0,7.0,12.0,46.0,6,7,16,20,1610612737,Hawks,ATL,Atlanta,240:00,32.0,7.0,12.0,46.0,17.0,17.0,10.0,66.0,7,6,20,16
2,0021900444,1610612737,Hawks,ATL,Atlanta,240:00,32.0,7.0,12.0,46.0,17.0,17.0,10.0,66.0,7,6,20,16,1610612739,Cavaliers,CLE,Cleveland,240:00,17.0,17.0,10.0,66.0,32.0,7.0,12.0,46.0,6,7,16,20
1,0021900445,1610612755,76ers,PHI,Philadelphia,240:00,22.0,16.0,13.0,62.0,17.0,10.0,15.0,54.0,8,1,21,14,1610612765,Pistons,DET,Detroit,240:00,17.0,10.0,15.0,54.0,22.0,16.0,13.0,62.0,1,8,14,21
2,0021900445,1610612765,Pistons,DET,Detroit,240:00,17.0,10.0,15.0,54.0,22.0,16.0,13.0,62.0,1,8,14,21,1610612755,76ers,PHI,Philadelphia,240:00,22.0,16.0,13.0,62.0,17.0,10.0,15.0,54.0,8,1,21,14
1,0021900446,1610612761,Raptors,TOR,Toronto,265:00,15.0,13.0,24.0,46.0,22.0,9.0,12.0,38.0,8,8,22,22,1610612754,Pacers,IND,Indiana,265:00,22.0,9.0,12.0,38.0,15.0,13.0,24.0,46.0,8,8,22,22
2,0021900446,1610612754,Pacers,IND,Indiana,265:00,22.0,9.0,12.0,38.0,15.0,13.0,24.0,46.0,8,8,22,22,1610612761,Raptors,TOR,Toronto,265:00,15.0,13.0,24.0,46.0,22.0,9.0,12.0,38.0,8,8,22,22
1,0021900447,1610612764,Wizards,WAS,Washington,240:00,15.0,24.0,12.0,56.0,11.0,18.0,10.0,50.0,7,10,12,25,1610612752,Knicks,NYK,New York,240:00,11.0,18.0,10.0,50.0,15.0,24.0,12.0,56.0,10,7,25,12
2,0021900447,1610612752,Knicks,NYK,New York,240:00,11.0,18.0,10.0,50.0,15.0,24.0,12.0,56.0,10,7,25,12,1610612764,Wizards,WAS,Washington,240:00,15.0,24.0,12.0,56.0,11.0,18.0,10.0,50.0,7,10,12,25
1,0021900448,1610612753,Magic,ORL,Orlando,240:00,17.0,8.0,12.0,48.0,13.0,7.0,6.0,38.0,13,5,15,17,1610612741,Bulls,CHI,Chicago,240:00,13.0,7.0,6.0,38.0,17.0,8.0,12.0,48.0,5,13,17,15
2,0021900448,1610612741,Bulls,CHI,Chicago,240:00,13.0,7.0,6.0,38.0,17.0,8.0,12.0,48.0,5,13,17,15,1610612753,Magic,ORL,Orlando,240:00,17.0,8.0,12.0,48.0,13.0,7.0,6.0,38.0,13,5,15,17
1,0021900449,1610612762,Jazz,UTA,Utah,240:00,18.0,12.0,7.0,50.0,12.0,13.0,13.0,46.0,6,3,21,16,1610612748,Heat,MIA,Miami,240:00,12.0,13.0,13.0,46.0,18.0,12.0,7.0,50.0,3,6,16,21
2,0021900449,1610612748,Heat,MIA,Miami,240:00,12.0,13.0,13.0,46.0,18.0,12.0,7.0,50.0,3,6,16,21,1610612762,Jazz,UTA,Utah,240:00,18.0,12.0,7.0,50.0,12.0,13.0,13.0,46.0,6,3,21,16
1,0021900450,1610612759,Spurs,SAS,San Antonio,240:00,17.0,7.0,21.0,60.0,16.0,21.0,17.0,56.0,4,0,14,19,1610612763,Grizzlies,MEM,Memphis,240:00,16.0,21.0,17.0,56.0,17.0,7.0,21.0,60.0,0,4,19,14
2,0021900450,1610612763,Grizzlies,MEM,Memphis,240:00,16.0,21.0,17.0,56.0,17.0,7.0,21.0,60.0,0,4,19,14,1610612759,Spurs,SAS,San Antonio,240:00,17.0,7.0,21.0,60.0,16.0,21.0,17.0,56.0,4,0,14,19
1,0021900451,1610612756,Suns,PHX,Phoenix,240:00,20.0,12.0,15.0,48.0,23.0,5.0,4.0,42.0,0,1,19,24,1610612743,Nuggets,DEN,Denver,240:00,23.0,5.0,4.0,42.0,20.0,12.0,15.0,48.0,1,0,24,19
2,0021900451,1610612743,Nuggets,DEN,Denver,240:00,23.0,5.0,4.0,42.0,20.0,12.0,15.0,48.0,1,0,24,19,1610612756,Suns,PHX,Phoenix,240:00,20.0,12.0,15.0,48.0,23.0,5.0,4.0,42.0,0,1,19,24
1,0021900452,1610612757,Trail Blazers,POR,Portland,240:00,14.0,12.0,12.0,48.0,13.0,14.0,14.0,36.0,6,6,17,19,1610612740,Pelicans,NOP,New Orleans,240:00,13.0,14.0,14.0,36.0,14.0,12.0,12.0,48.0,6,6,19,17
2,0021900452,1610612740,Pelicans,NOP,New Orleans,240:00,13.0,14.0,14.0,36.0,14.0,12.0,12.0,48.0,6,6,19,17,1610612757,Trail Blazers,POR,Portland,240:00,14.0,12.0,12.0,48.0,13.0,14.0,14.0,36.0,6,6,17,19
1,0021900453,1610612758,Kings,SAC,Sacramento,240:00,17.0,14.0,23.0,62.0,19.0,9.0,15.0,46.0,4,3,24,22,1610612745,Rockets,HOU,Houston,240:00,19.0,9.0,15.0,46.0,17.0,14.0,23.0,62.0,3,4,22,24
2,0021900453,1610612745,Rockets,HOU,Houston,240:00,19.0,9.0,15.0,46.0,17.0,14.0,23.0,62.0,3,4,22,24,1610612758,Kings,SAC,Sacramento,240:00,17.0,14.0,23.0,62.0,19.0,9.0,15.0,46.0,4,3,24,22
1,0021900454,1610612750,Timberwolves,MIN,Minnesota,240:00,28.0,12.0,25.0,40.0,18.0,19.0,22.0,48.0,7,6,18,27,1610612744,Warriors,GSW,Golden State,240:00,18.0,19.0,22.0,48.0,28.0,12.0,25.0,40.0,6,7,27,18
2,0021900454,1610612744,Warriors,GSW,Golden State,240:00,18.0,19.0,22.0,48.0,28.0,12.0,25.0,40.0,6,7,27,18,1610612750,Timberwolves,MIN,Minnesota,240:00,28.0,12.0,25.0,40.0,18.0,19.0,22.0,48.0,7,6,18,27
1,0021900455,1610612761,Raptors,TOR,Toronto,240:00,21.0,4.0,12.0,54.0,20.0,24.0,15.0,52.0,7,3,13,22,1610612738,Celtics,BOS,Boston,240:00,20.0,24.0,15.0,52.0,21.0,4.0,12.0,54.0,3,7,22,13
2,0021900455,1610612738,Celtics,BOS,Boston,240:00,20.0,24.0,15.0,52.0,21.0,4.0,12.0,54.0,3,7,22,13,1610612761,Raptors,TOR,Toronto,240:00,21.0,4.0,12.0,54.0,20.0,24.0,15.0,52.0,7,3,13,22
1,0021900456,1610612755,76ers,PHI,Philadelphia,240:00,7.0,16.0,18.0,34.0,11.0,13.0,16.0,54.0,7,6,12,15,1610612749,Bucks,MIL,Milwaukee,240:00,11.0,13.0,16.0,54.0,7.0,16.0,18.0,34.0,6,7,15,12
2,0021900456,1610612749,Bucks,MIL,Milwaukee,240:00,11.0,13.0,16.0,54.0,7.0,16.0,18.0,34.0,6,7,15,12,1610612755,76ers,PHI,Philadelphia,240:00,7.0,16.0,18.0,34.0,11.0,13.0,16.0,54.0,7,6,12,15
1,0021900457,1610612745,Rockets,HOU,Houston,240:00,13.0,12.0,14.0,34.0,12.0,13.0,18.0,52.0,3,8,25,18,1610612744,Warriors,GSW,Golden State,240:00,12.0,13.0,18.0,52.0,13.0,12.0,14.0,34.0,8,3,18,25
2,0021900457,1610612744,Warriors,GSW,Golden State,240:00,12.0,13.0,18.0,52.0,13.0,12.0,14.0,34.0,8,3,18,25,1610612745,Rockets,HOU,Houston,240:00,13.0,12.0,14.0,34.0,12.0,13.0,18.0,52.0,3,8,25,18
1,0021900458,1610612747,Lakers,LAL,Los Angeles,240:00,15.0,12.0,20.0,42.0,19.0,16.0,21.0,54.0,10,6,23,17,1610612746,Clippers,LAC,LA,240:00,19.0,16.0,21.0,54.0,15.0,12.0,20.0,42.0,6,10,17,23
2,0021900458,1610612746,Clippers,LAC,LA,240:00,19.0,16.0,21.0,54.0,15.0,12.0,20.0,42.0,6,10,17,23,1610612747,Lakers,LAL,Los Angeles,240:00,15.0,12.0,20.0,42.0,19.0,16.0,21.0,54.0,10,6,23,17
1,0021900459,1610612740,Pelicans,NOP,New Orleans,240:00,14.0,22.0,12.0,32.0,27.0,22.0,19.0,46.0,5,4,14,15,1610612743,Nuggets,DEN,Denver,240:00,27.0,22.0,19.0,46.0,14.0,22.0,12.0,32.0,4,5,15,14
2,0021900459,1610612743,Nuggets,DEN,Denver,240:00,27.0,22.0,19.0,46.0,14.0,22.0,12.0,32.0,4,5,15,14,1610612740,Pelicans,NOP,New Orleans,240:00,14.0,22.0,12.0,32.0,27.0,22.0,19.0,46.0,5,4,14,15
1,0021900460,1610612764,Wizards,WAS,Washington,240:00,13.0,18.0,7.0,52.0,14.0,18.0,10.0,44.0,5,5,25,23,1610612765,Pistons,DET,Detroit,240:00,14.0,18.0,10.0,44.0,13.0,18.0,7.0,52.0,5,5,23,25
2,0021900460,1610612765,Pistons,DET,Detroit,240:00,14.0,18.0,10.0,44.0,13.0,18.0,7.0,52.0,5,5,23,25,1610612764,Wizards,WAS,Washington,240:00,13.0,18.0,7.0,52.0,14.0,18.0,10.0,44.0,5,5,25,23
1,0021900461,1610612752,Knicks,NYK,New York,240:00,17.0,14.0,3.0,36.0,12.0,10.0,6.0,14.0,2,3,27,19,1610612751,Nets,BKN,Brooklyn,240:00,12.0,10.0,6.0,14.0,17.0,14.0,3.0,36.0,3,2,19,27
2,0021900461,1610612751,Nets,BKN,Brooklyn,240:00,12.0,10.0,6.0,14.0,17.0,14.0,3.0,36.0,3,2,19,27,1610612752,Knicks,NYK,New York,240:00,17.0,14.0,3.0,36.0,12.0,10.0,6.0,14.0,2,3,27,19
1,0021900462,1610612760,Thunder,OKC,Oklahoma City,240:00,22.0,17.0,6.0,44.0,11.0,10.0,23.0,66.0,4,8,14,14,1610612763,Grizzlies,MEM,Memphis,240:00,11.0,10.0,23.0,66.0,22.0,17.0,6.0,44.0,8,4,14,14
2,0021900462,1610612763,Grizzlies,MEM,Memphis,240:00,11.0,10.0,23.0,66.0,22.0,17.0,6.0,44.0,8,4,14,14,1610612760,Thunder,OKC,Oklahoma City,240:00,22.0,17.0,6.0,44.0,11.0,10.0,23.0,66.0,4,8,14,14
1,0021900463,1610612759,Spurs,SAS,San Antonio,240:00,16.0,4.0,22.0,42.0,24.0,12.0,8.0,36.0,7,3,16,11,1610612742,Mavericks,DAL,Dallas,240:00,24.0,12.0,8.0,36.0,16.0,4.0,22.0,42.0,3,7,11,16
2,0021900463,1610612742,Mavericks,DAL,Dallas,240:00,24.0,12.0,8.0,36.0,16.0,4.0,22.0,42.0,3,7,11,16,1610612759,Spurs,SAS,San Antonio,240:00,16.0,4.0,22.0,42.0,24.0,12.0,8.0,36.0,7,3,16,11
1,0021900464,1610612758,Kings,SAC,Sacramento,290:00,23.0,17.0,5.0,48.0,13.0,14.0,2.0,50.0,8,5,23,20,1610612750,Timberwolves,MIN,Minnesota,290:00,13.0,14.0,2.0,50.0,23.0,17.0,5.0,48.0,5,8,20,23
2,0021900464,1610612750,Timberwolves,MIN,Minnesota,290:00,13.0,14.0,2.0,50.0,23.0,17.0,5.0,48.0,5,8,20,23,1610612758,Kings,SAC,Sacramento,290:00,23.0,17.0,5.0,48.0,13.0,14.0,2.0,50.0,8,5,23,20
1,0021900465,1610612762,Jazz,UTA,Utah,240:00,17.0,13.0,4.0,60.0,21.0,13.0,7.0,34.0,1,1,18,21,1610612757,Trail Blazers,POR,Portland,240:00,21.0,13.0,7.0,34.0,17.0,13.0,4.0,60.0,1,1,21,18
2,0021900465,1610612757,Trail Blazers,POR,Portland,240:00,21.0,13.0,7.0,34.0,17.0,13.0,4.0,60.0,1,1,21,18,1610612762,Jazz,UTA,Utah,240:00,17.0,13.0,4.0,60.0,21.0,13.0,7.0,34.0,1,1,18,21
1,0021900466,1610612739,Cavaliers,CLE,Cleveland,240:00,15.0,8.0,19.0,60.0,13.0,18.0,22.0,60.0,3,10,17,23,1610612738,Celtics,BOS,Boston,240:00,13.0,18.0,22.0,60.0,15.0,8.0,19.0,60.0,10,3,23,17
2,0021900466,1610612738,Celtics,BOS,Boston,240:00,13.0,18.0,22.0,60.0,15.0,8.0,19.0,60.0,10,3,23,17,1610612739,Cavaliers,CLE,Cleveland,240:00,15.0,8.0,19.0,60.0,13.0,18.0,22.0,60.0,3,10,17,23
1,0021900467,1610612760,Thunder,OKC,Oklahoma City,265:00,23.0,6.0,16.0,50.0,15.0,16.0,11.0,66.0,4,4,23,27,1610612766,Hornets,CHA,Charlotte,265:00,15.0,16.0,11.0,66.0,23.0,6.0,16.0,50.0,4,4,27,23
2,0021900467,1610612766,Hornets,CHA,Charlotte,265:00,15.0,16.0,11.0,66.0,23.0,6.0,16.0,50.0,4,4,27,23,1610612760,Thunder,OKC,Oklahoma City,265:00,23.0,6.0,16.0,50.0,15.0,16.0,11.0,66.0,4,4,23,27
1,0021900468,1610612755,76ers,PHI,Philadelphia,240:00,12.0,14.0,15.0,32.0,12.0,11.0,7.0,44.0,3,5,22,21,1610612753,Magic,ORL,Orlando,240:00,12.0,11.0,7.0,44.0,12.0,14.0,15.0,32.0,5,3,21,22
2,0021900468,1610612753,Magic,ORL,Orlando,240:00,12.0,11.0,7.0,44.0,12.0,14.0,15.0,32.0,5,3,21,22,1610612755,76ers,PHI,Philadelphia,240:00,12.0,14.0,15.0,32.0,12.0,11.0,7.0,44.0,3,5,22,21
1,0021900469,1610612749,Bucks,MIL,Milwaukee,240:00,20.0,11.0,10.0,56.0,13.0,6.0,11.0,32.0,8,8,13,18,1610612737,Hawks,ATL,Atlanta,240:00,13.0,6.0,11.0,32.0,20.0,11.0,10.0,56.0,8,8,18,13
2,0021900469,1610612737,Hawks,ATL,Atlanta,240:00,13.0,6.0,11.0,32.0,20.0,11.0,10.0,56.0,8,8,18,13,1610612749,Bucks,MIL,Milwaukee,240:00,20.0,11.0,10.0,56.0,13.0,6.0,11.0,32.0,8,8,13,18
1,0021900470,1610612748,Heat,MIA,Miami,240:00,2.0,15.0,11.0,38.0,15.0,4.0,21.0,38.0,2,4,12,16,1610612754,Pacers,IND,Indiana,240:00,15.0,4.0,21.0,38.0,2.0,15.0,11.0,38.0,4,2,16,12
2,0021900470,1610612754,Pacers,IND,Indiana,240:00,15.0,4.0,21.0,38.0,2.0,15.0,11.0,38.0,4,2,16,12,1610612748,Heat,MIA,Miami,240:00,2.0,15.0,11.0,38.0,15.0,4.0,21.0,38.0,2,4,12,16
1,0021900471,1610612756,Suns,PHX,Phoenix,240:00,7.0,20.0,14.0,42.0,28.0,17.0,10.0,40.0,1,5,21,17,1610612744,Warriors,GSW,Golden State,240:00,28.0,17.0,10.0,40.0,7.0,20.0,14.0,42.0,5,1,17,21
2,0021900471,1610612744,Warriors,GSW,Golden State,240:00,28.0,17.0,10.0,40.0,7.0,20.0,14.0,42.0,5,1,17,21,1610612756,Suns,PHX,Phoenix,240:00,7.0,20.0,14.0,42.0,28.0,17.0,10.0,40.0,1,5,21,17
1,0021900472,1610612763,Grizzlies,MEM,Memphis,240:00,11.0,10.0,8.0,58.0,16.0,15.0,9.0,66.0,5,4,24,20,1610612743,Nuggets,DEN,Denver,240:00,16.0,15.0,9.0,66.0,11.0,10.0,8.0,58.0,4,5,20,24
2,0021900472,1610612743,Nuggets,DEN,Denver,240:00,16.0,15.0,9.0,66.0,11.0,10.0,8.0,58.0,4,5,20,24,1610612763,Grizzlies,MEM,Memphis,240:00,11.0,10.0,8.0,58.0,16.0,15.0,9.0,66.0,5,4,24,20
1,0021900473,1610612761,Raptors,TOR,Toronto,240:00,14.0,23.0,11.0,52.0,31.0,5.0,18.0,46.0,3,4,32,17,1610612738,Celtics,BOS,Boston,240:00,31.0,5.0,18.0,46.0,14.0,23.0,11.0,52.0,4,3,17,32
2,0021900473,1610612738,Celtics,BOS,Boston,240:00,31.0,5.0,18.0,46.0,14.0,23.0,11.0,52.0,4,3,17,32,1610612761,Raptors,TOR,Toronto,240:00,14.0,23.0,11.0,52.0,31.0,5.0,18.0,46.0,3,4,32,17
1,0021900474,1610612740,Pelicans,NOP,New Orleans,240:00,24.0,15.0,20.0,40.0,10.0,13.0,12.0,50.0,2,2,18,16,1610612754,Pacers,IND,Indiana,240:00,10.0,13.0,12.0,50.0,24.0,15.0,20.0,40.0,2,2,16,18
2,0021900474,1610612754,Pacers,IND,Indiana,240:00,10.0,13.0,12.0,50.0,24.0,15.0,20.0,40.0,2,2,16,18,1610612740,Pelicans,NOP,New Orleans,240:00,24.0,15.0,20.0,40.0,10.0,13.0,12.0,50.0,2,2,18,16
1,0021900475,1610612755,76ers,PHI,Philadelphia,265:00,14.0,10.0,17.0,46.0,21.0,10.0,15.0,48.0,4,4,24,21,1610612748,Heat,MIA,Miami,265:00,21.0,10.0,15.0,48.0,14.0,10.0,17.0,46.0,4,4,21,24
2,0021900475,1610612748,Heat,MIA,Miami,265:00,21.0,10.0,15.0,48.0,14.0,10.0,17.0,46.0,4,4,21,24,1610612755,76ers,PHI,Philadelphia,265:00,14.0,10.0,17.0,46.0,21.0,10.0,15.0,48.0,4,4,24,21
1,0021900476,1610612764,Wizards,WAS,Washington,240:00,28.0,13.0,14.0,38.0,10.0,9.0,6.0,44.0,3,5,22,25,1610612752,Knicks,NYK,New York,240:00,10.0,9.0,6.0,44.0,28.0,13.0,14.0,38.0,5,3,25,22
2,0021900476,1610612752,Knicks,NYK,New York,240:00,10.0,9.0,6.0,44.0,28.0,13.0,14.0,38.0,5,3,25,22,1610612764,Wizards,WAS,Washington,240:00,28.0,13.0,14.0,38.0,10.0,9.0,6.0,44.0,3,5,22,25
1,0021900477,1610612741,Bulls,CHI,Chicago,240:00,26.0,12.0,25.0,48.0,18.0,13.0,8.0,40.0,5,5,15,16,1610612737,Hawks,ATL,Atlanta,240:00,18.0,13.0,8.0,40.0,26.0,12.0,25.0,48.0,5,5,16,15
2,0021900477,1610612737,Hawks,ATL,Atlanta,240:00,18.0,13.0,8.0,40.0,26.0,12.0,25.0,48.0,5,5,16,15,1610612741,Bulls,CHI,Chicago,240:00,26.0,12.0,25.0,48.0,18.0,13.0,8.0,40.0,5,5,15,16
1,0021900478,1610612745,Rockets,HOU,Houston,240:00,16.0,14.0,6.0,48.0,8.0,16.0,14.0,48.0,6,5,15,15,1610612751,Nets,BKN,Brooklyn,240:00,8.0,16.0,14.0,48.0,16.0,14.0,6.0,48.0,5,6,15,15
2,0021900478,1610612751,Nets,BKN,Brooklyn,240:00,8.0,16.0,14.0,48.0,16.0,14.0,6.0,48.0,5,6,15,15,1610612745,Rockets,HOU,Houston,240:00,16.0,14.0,6.0,48.0,8.0,16.0,14.0,48.0,6,5,15,15
1,0021900479,1610612750,Timberwolves,MIN,Minnesota,240:00,27.0,17.0,15.0,50.0,12.0,15.0,6.0,44.0,8,4,29,21,1610612739,Cavaliers,CLE,Cleveland,240:00,12.0,15.0,6.0,44.0,27.0,17.0,15.0,50.0,4,8,21,29
2,0021900479,1610612739,Cavaliers,CLE,Cleveland,240:00,12.0,15.0,6.0,44.0,27.0,17.0,15.0,50.0,4,8,21,29,1610612750,Timberwolves,MIN,Minnesota,240:00,27.0,17.0,15.0,50.0,12.0,15.0,6.0,44.0,8,4,29,21
1,0021900480,1610612753,Magic,ORL,Orlando,240:00,29.0,8.0,14.0,28.0,11.0,14.0,18.0,40.0,7,5,17,13,1610612749,Bucks,MIL,Milwaukee,240:00,11.0,14.0,18.0,40.0,29.0,8.0,14.0,28.0,5,7,13,17
2,0021900480,1610612749,Bucks,MIL,Milwaukee,240:00,11.0,14.0,18.0,40.0,29.0,8.0,14.0,28.0,5,7,13,17,1610612753,Magic,ORL,Orlando,240:00,29.0,8.0,14.0,28.0,11.0,14.0,18.0,40.0,7,5,17,13
1,0021900481,1610612759,Spurs,SAS,San Antonio,240:00,16.0,12.0,17.0,52.0,17.0,12.0,21.0,54.0,7,5,20,15,1610612765,Pistons,DET,Detroit,240:00,17.0,12.0,21.0,54.0,16.0,12.0,17.0,52.0,5,7,15,20
2,0021900481,1610612765,Pistons,DET,Detroit,240:00,17.0,12.0,21.0,54.0,16.0,12.0,17.0,52.0,5,7,15,20,1610612759,Spurs,SAS,San Antonio,240:00,16.0,12.0,17.0,52.0,17.0,12.0,21.0,54.0,7,5,20,15
1,0021900482,1610612744,Warriors,GSW,Golden State,240:00,9.0,11.0,23.0,40.0,12.0,17.0,14.0,44.0,3,7,19,17,1610612742,Mavericks,DAL,Dallas,240:00,12.0,17.0,14.0,44.0,9.0,11.0,23.0,40.0,7,3,17,19
2,0021900482,1610612742,Mavericks,DAL,Dallas,240:00,12.0,17.0,14.0,44.0,9.0,11.0,23.0,40.0,7,3,17,19,1610612744,Warriors,GSW,Golden State,240:00,9.0,11.0,23.0,40.0,12.0,17.0,14.0,44.0,3,7,19,17
1,0021900483,1610612758,Kings,SAC,Sacramento,240:00,15.0,15.0,5.0,52.0,17.0,4.0,16.0,46.0,4,2,16,21,1610612756,Suns,PHX,Phoenix,240:00,17.0,4.0,16.0,46.0,15.0,15.0,5.0,52.0,2,4,21,16
2,0021900483,1610612756,Suns,PHX,Phoenix,240:00,17.0,4.0,16.0,46.0,15.0,15.0,5.0,52.0,2,4,21,16,1610612758,Kings,SAC,Sacramento,240:00,15.0,15.0,5.0,52.0,17.0,4.0,16.0,46.0,4,2,16,21
1,0021900484,1610612757,Trail Blazers,POR,Portland,240:00,8.0,16.0,8.0,40.0,15.0,13.0,21.0,60.0,8,7,22,25,1610612747,Lakers,LAL,Los Angeles,240:00,15.0,13.0,21.0,60.0,8.0,16.0,8.0,40.0,7,8,25,22
2,0021900484,1610612747,Lakers,LAL,Los Angeles,240:00,15.0,13.0,21.0,60.0,8.0,16.0,8.0,40.0,7,8,25,22,1610612757,Trail Blazers,POR,Portland,240:00,8.0,16.0,8.0,40.0,15.0,13.0,21.0,60.0,8,7,22,25
1,0021900485,1610612762,Jazz,UTA,Utah,240:00,17.0,11.0,19.0,46.0,18.0,19.0,14.0,40.0,2,4,20,18,1610612746,Clippers,LAC,LA,240:00,18.0,19.0,14.0,40.0,17.0,11.0,19.0,46.0,4,2,18,20
2,0021900485,1610612746,Clippers,LAC,LA,240:00,18.0,19.0,14.0,40.0,17.0,11.0,19.0,46.0,4,2,18,20,1610612762,Jazz,UTA,Utah,240:00,17.0,11.0,19.0,46.0,18.0,19.0,14.0,40.0,2,4,20,18
1,0021900486,1610612761,Raptors,TOR,Toronto,240:00,13.0,11.0,8.0,36.0,21.0,13.0,9.0,40.0,2,6,20,14,1610612760,Thunder,OKC,Oklahoma City,240:00,21.0,13.0,9.0,40.0,13.0,11.0,8.0,36.0,6,2,14,20
2,0021900486,1610612760,Thunder,OKC,Oklahoma City,240:00,21.0,13.0,9.0,40.0,13.0,11.0,8.0,36.0,6,2,14,20,1610612761,Raptors,TOR,Toronto,240:00,13.0,11.0,8.0,36.0,21.0,13.0,9.0,40.0,2,6,20,14
1,0021900487,1610612763,Grizzlies,MEM,Memphis,240:00,12.0,19.0,13.0,64.0,17.0,8.0,9.0,54.0,5,4,20,19,1610612766,Hornets,CHA,Charlotte,240:00,17.0,8.0,9.0,54.0,12.0,19.0,13.0,64.0,4,5,19,20
2,0021900487,1610612766,Hornets,CHA,Charlotte,240:00,17.0,8.0,9.0,54.0,12.0,19.0,13.0,64.0,4,5,19,20,1610612763,Grizzlies,MEM,Memphis,240:00,12.0,19.0,13.0,64.0,17.0,8.0,9.0,54.0,5,4,20,19
1,0021900488,1610612740,Pelicans,NOP,New Orleans,240:00,23.0,23.0,28.0,52.0,11.0,10.0,4.0,52.0,4,3,17,16,1610612745,Rockets,HOU,Houston,240:00,11.0,10.0,4.0,52.0,23.0,23.0,28.0,52.0,3,4,16,17
2,0021900488,1610612745,Rockets,HOU,Houston,240:00,11.0,10.0,4.0,52.0,23.0,23.0,28.0,52.0,3,4,16,17,1610612740,Pelicans,NOP,New Orleans,240:00,23.0,23.0,28.0,52.0,11.0,10.0,4.0,52.0,4,3,17,16
1,0021900489,1610612758,Kings,SAC,Sacramento,240:00,17.0,11.0,2.0,54.0,22.0,18.0,8.0,52.0,4,4,26,18,1610612743,Nuggets,DEN,Denver,240:00,22.0,18.0,8.0,52.0,17.0,11.0,2.0,54.0,4,4,18,26
2,0021900489,1610612743,Nuggets,DEN,Denver,240:00,22.0,18.0,8.0,52.0,17.0,11.0,2.0,54.0,4,4,18,26,1610612758,Kings,SAC,Sacramento,240:00,17.0,11.0,2.0,54.0,22.0,18.0,8.0,52.0,4,4,26,18
1,0021900490,1610612747,Lakers,LAL,Los Angeles,240:00,25.0,10.0,18.0,54.0,14.0,11.0,17.0,32.0,7,4,23,23,1610612742,Mavericks,DAL,Dallas,240:00,14.0,11.0,17.0,32.0,25.0,10.0,18.0,54.0,4,7,23,23
